admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,Maize (white),Maize (yellow),Wheat,year,month
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.8,0.1028,1,0,0,2001,1
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.84,0.1073,1,0,0,2001,2
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.89,0.1124,0,1,0,2001,2
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.0,0.1275,0,0,1,2001,2
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.03,0.1313,0,0,1,2001,3
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.82,0.1043,1,0,0,2001,3
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.86,0.1096,0,1,0,2001,3
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.82,0.1025,0,1,0,2001,4
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.05,0.1311,0,0,1,2001,4
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.81,0.1007,1,0,0,2001,4
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.07,0.1343,0,0,1,2001,5
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.77,0.0968,0,1,0,2001,5
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.76,0.0943,1,0,0,2001,5
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.78,0.098,1,0,0,2001,6
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.8,0.1001,0,1,0,2001,6
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.03,0.1292,0,0,1,2001,6
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.9,0.1091,1,0,0,2001,7
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.88,0.106,0,1,0,2001,7
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.02,0.123,0,0,1,2001,7
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,0.98,0.119,1,0,0,2001,8
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.92,0.1121,0,1,0,2001,8
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.01,0.1228,0,0,1,2001,8
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.05,0.1224,0,0,1,2001,9
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,0.98,0.1135,0,1,0,2001,9
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.0,0.1164,1,0,0,2001,9
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.06,0.1172,1,0,0,2001,10
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.05,0.1161,0,1,0,2001,10
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.13,0.1253,0,0,1,2001,10
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.28,0.1341,1,0,0,2001,11
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.23,0.1287,0,1,0,2001,11
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.24,0.1294,0,0,1,2001,11
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.55,0.1267,1,0,0,2001,12
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.48,0.121,0,1,0,2001,12
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.42,0.1161,0,0,1,2001,12
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.65,0.1408,0,1,0,2002,1
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.46,0.1246,0,0,1,2002,1
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.74,0.1481,1,0,0,2002,1
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.85,0.162,1,0,0,2002,2
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.52,0.1324,0,1,0,2002,2
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.42,0.1237,0,0,1,2002,2
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,2.01,0.1686,1,0,0,2002,3
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.47,0.1233,0,1,0,2002,3
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.42,0.119,0,0,1,2002,3
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.92,0.1715,1,0,0,2002,4
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.39,0.1247,0,1,0,2002,4
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.38,0.1231,0,0,1,2002,4
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.23,0.1199,0,0,1,2002,5
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.31,0.1279,0,1,0,2002,5
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.78,0.1731,1,0,0,2002,5
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.75,0.1674,1,0,0,2002,6
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.35,0.1284,0,1,0,2002,6
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.33,0.1272,0,0,1,2002,6
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.7,0.169,1,0,0,2002,7
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.39,0.1384,0,1,0,2002,7
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.49,0.1484,0,0,1,2002,7
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.74,0.1633,1,0,0,2002,8
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.49,0.1402,0,1,0,2002,8
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.69,0.1593,0,0,1,2002,8
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.54,0.1439,0,1,0,2002,9
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.96,0.183,0,0,1,2002,9
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.76,0.1644,1,0,0,2002,9
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.97,0.1885,0,0,1,2002,10
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.47,0.1405,0,1,0,2002,10
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.76,0.1682,1,0,0,2002,10
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.8,0.187,1,0,0,2002,11
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.4,0.1446,0,1,0,2002,11
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.72,0.1778,0,0,1,2002,11
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.74,0.1996,1,0,0,2002,12
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ZAR,1.35,0.154,0,1,0,2002,12
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Wheat,KG,actual,Wholesale,ZAR,1.45,0.1654,0,0,1,2002,12
Gauteng,West Rand District Municipality,Randfontein,-26.199,27.669,cereals and tubers,Maize (white),KG,actual,Wholesale,ZAR,1.53,0.1749,1,0,0,2003,1
